,City,Cloud Coverage (%),Country,Humidity (%),Latitude,Longitude,Maximum Temperature (F),Wind Speed (mph)
63,Ngunguru,12,NZ,100,-35.62,174.5,59.48,21.72
64,Mar del Plata,0,AR,45,-46.43,-67.52,58.8,10.42
65,Weinsberg,90,DE,93,49.15,9.29,42.8,10.29
66,Tuatapere,92,NZ,100,-46.13,167.69,43.82,19.04
67,Port Alfred,32,ZA,88,-33.59,26.89,69.15,3.71
68,Bredasdorp,0,ZA,52,-34.53,20.04,69.8,11.41
69,Verkhnyaya Inta,76,RU,80,65.99,60.32,21.99,6.62
70,Halden,92,NO,69,59.12,11.39,33.8,11.41
71,Bluff,88,NZ,100,-46.6,168.33,48.14,26.31
72,Dzhebariki-Khaya,24,RU,92,62.22,135.8,10.56,2.71
73,Beira,0,MZ,83,-19.84,34.84,69.8,5.82
74,Castro,92,CL,86,-42.48,-73.76,56.64,2.04
75,Sitka,0,US,34,37.17,-99.65,78.6,13.67
76,Kieta,0,PG,95,-6.22,155.63,81.17,2.59
77,Saint-Philippe,0,RE,56,-21.36,55.77,73.4,6.93
78,Wladyslawowo,90,PL,100,54.79,18.4,39.2,11.41
79,Kuopio,90,FI,92,62.89,27.68,23.0,5.82
80,Hofn,64,IS,100,64.25,-15.21,41.79,10.98
81,Sao Filipe,0,CV,98,14.9,-24.5,77.93,11.88
82,Sendafa,20,ET,47,9.16,39.02,55.4,9.17
83,Uvira,44,CD,100,-3.41,29.14,60.24,3.15
84,Upernavik,68,GL,100,72.79,-56.15,21.09,7.85
85,Walvis Bay,0,NA,72,-22.95,14.51,64.4,8.05
86,Flin Flon,90,CA,100,54.77,-101.88,33.8,5.82
87,Great Yarmouth,75,GB,93,52.61,1.73,44.6,4.7
88,Cuiluan,36,CN,92,47.72,128.65,25.95,4.72
89,Egvekinot,80,RU,76,66.32,-179.17,6.33,3.04
90,Namatanai,64,PG,99,-3.66,152.44,84.45,6.06
91,Portree,24,GB,100,57.41,-6.19,42.78,18.48
92,Dikson,80,RU,100,73.51,80.55,26.54,15.12
93,Sayyan,0,YE,62,15.17,44.32,48.09,4.38
94,Geraldton,90,AU,87,-28.77,114.6,59.0,8.05
95,Saskylakh,92,RU,87,71.97,114.09,16.14,6.62
96,Jamestown,32,SH,100,-15.94,-5.72,68.66,19.04
97,Durban,36,ZA,85,-29.86,31.03,75.99,34.92
98,Butaritari,64,KI,99,3.07,172.79,85.67,8.08
99,Snezhnogorsk,0,RU,85,69.19,33.23,15.8,2.24
100,Mpika,0,ZM,45,-11.84,31.4,61.91,7.07
101,Necochea,12,AR,79,-38.55,-58.74,69.6,14.34
102,Souillac,75,MU,94,-20.52,57.52,71.6,5.82
103,Carnarvon,0,AU,95,-24.87,113.63,69.69,19.82
104,Kjopsvik,0,NO,79,68.1,16.37,21.2,14.99
105,Tiksi,56,RU,80,71.64,128.87,10.11,2.93
106,Harlingen,90,NL,86,53.18,5.41,46.4,13.87
107,Bideford,0,GB,92,51.02,-4.21,33.8,1.12
108,Talkha,0,EG,83,31.05,31.37,62.58,8.63
109,Tuktoyaktuk,90,CA,85,69.44,-133.03,21.2,18.34
110,Caxito,20,AO,83,-8.58,13.66,78.8,5.82
111,Ozark,1,US,38,37.02,-93.21,69.8,16.11
112,Sorland,75,NO,55,67.67,12.69,37.4,16.11
113,Chipata,0,ZM,27,-13.64,32.65,67.22,9.19
114,Georgetown,0,SH,100,-7.93,-14.42,76.71,16.69
115,Vestmannaeyjar,56,IS,99,63.44,-20.27,38.55,6.06
116,Tres Arroyos,88,AR,95,-38.38,-60.28,66.9,10.76
117,East London,24,ZA,97,-33.02,27.91,68.7,12.66
118,Kloulklubed,75,PW,94,7.04,134.26,75.2,3.36
119,Obudovac,40,BA,56,44.97,18.6,69.8,18.34
120,Kosonsoy,40,UZ,87,41.25,71.55,50.0,2.24
121,Port Elizabeth,0,ZA,72,-33.92,25.57,68.0,12.75
122,Jumla,0,NP,68,29.28,82.18,18.03,1.7
123,Nome,1,US,34,30.04,-94.42,85.1,9.17
124,Bakchar,92,RU,95,57.02,82.07,33.96,5.39
125,Aasiaat,68,GL,100,68.71,-52.87,27.93,10.54
126,Tadine,0,NC,98,-21.55,167.88,74.51,9.86
127,Katsuura,40,JP,82,33.93,134.5,55.4,3.36
128,Pevek,20,RU,100,69.7,170.27,5.03,5.61
129,Mahebourg,75,MU,94,-20.41,57.7,71.6,5.82
130,Honiara,75,SB,83,-9.43,159.96,77.0,4.7
131,Arraial do Cabo,75,BR,68,-22.97,-42.02,71.6,5.82
132,Belyy Yar,0,RU,85,53.6,91.39,32.0,4.47
133,Manzhouli,0,CN,66,49.6,117.43,8.99,3.15
134,Longyearbyen,75,SJ,79,78.22,15.64,28.4,26.4
135,Evensk,44,RU,100,61.92,159.24,24.96,5.17
136,Puerto Ayora,0,EC,69,-0.74,-90.35,77.0,13.87
137,Sinnamary,56,GF,94,5.38,-52.96,82.11,10.65
138,Axim,44,GH,100,4.87,-2.24,82.07,8.41
139,Margate,0,ZA,77,-30.86,30.37,74.33,21.5
140,Windhoek,92,NA,31,-22.57,17.08,73.4,4.7
141,Shelburne,90,CA,45,44.08,-80.2,46.4,13.87
142,Floro,0,NO,48,61.6,5.03,39.2,18.34
143,Belmonte,0,BR,74,-26.84,-53.58,80.04,1.03
144,Mihijam,0,IN,94,23.85,86.88,63.93,2.82
145,Clyde,80,NZ,96,-45.19,169.32,38.33,3.71
146,Luanda,20,AO,83,-8.83,13.24,78.8,5.82
147,Saldanha,76,ZA,87,-33.01,17.94,60.8,12.75
148,Ribeira Grande,75,PT,77,38.52,-28.7,68.0,20.8
149,Griffith,0,AU,55,-34.29,146.06,56.33,2.15
150,Vardo,0,NO,74,70.37,31.11,35.6,12.75
151,Lompoc,1,US,51,34.64,-120.46,84.02,20.8
152,Parabel,92,RU,94,58.71,81.5,31.8,5.06
153,Chuy,0,UY,73,-33.69,-53.46,68.21,16.24
154,Ouadda,0,CF,87,8.07,22.4,69.69,2.71
155,Port Moresby,20,PG,88,-9.47,147.16,77.0,5.82
156,San Rafael,24,AR,33,-34.61,-68.33,75.32,5.39
157,Ambilobe,76,MG,83,-13.19,49.05,74.87,3.71
158,Koumac,0,NC,74,-20.56,164.28,75.86,6.51
159,Esperance,92,AU,86,-33.86,121.89,58.94,9.75
160,Sambava,92,MG,100,-14.27,50.17,73.97,3.38
161,Kokstad,0,ZA,33,-30.55,29.42,65.42,5.73
162,Florida Ridge,1,US,57,27.58,-80.39,80.6,12.75
163,Muros,75,ES,100,42.77,-9.06,42.8,13.87
164,Berlevag,40,NO,100,70.86,29.09,39.2,17.22
165,Salinopolis,32,BR,93,-0.61,-47.36,82.83,13.78
166,Caravelas,92,BR,100,-17.73,-39.27,74.87,22.84
167,Mujiayingzi,24,CN,77,42.12,118.78,23.43,5.06
168,Rundu,0,NA,19,-17.91,19.77,67.71,8.63
169,Nitchidorf,0,RO,72,45.58,21.53,73.4,11.41
170,Hobyo,0,SO,91,5.35,48.53,76.08,4.94
171,Tromso,0,NO,64,69.65,18.96,35.6,10.29
172,Bhadra,0,IN,77,29.1,75.17,59.39,2.59
173,Seddon,92,NZ,100,-41.67,174.07,51.51,3.71
174,Cape Town,75,ZA,88,-33.93,18.42,62.6,32.21
175,Riyadh,0,SA,88,24.63,46.72,62.6,2.24
176,Minador do Negrao,0,BR,50,-9.31,-36.86,85.71,14.79
177,Thomaston,1,US,19,32.89,-84.33,72.14,10.29
178,Gorele,0,TR,76,41.03,39.0,57.2,6.93
179,Makasar,20,ID,94,-6.28,106.88,78.8,3.36
180,Lagoa,40,PT,72,37.14,-8.45,59.0,12.75
181,Klaksvik,88,FO,65,62.23,-6.59,44.6,21.92
182,Weligama,8,LK,98,5.97,80.42,76.76,10.76
183,Port Keats,0,AU,97,-14.25,129.55,77.66,2.82
184,Surt,80,LY,54,31.21,16.59,85.58,10.87
185,Monroe,90,US,63,41.91,-83.4,53.96,11.41
186,Tevaitoa,56,PF,100,-16.78,-151.5,79.86,2.37
187,Doka,48,SD,82,13.52,35.76,70.05,0.92
188,Kidal,0,ML,33,18.44,1.41,69.96,4.16
189,Clyde River,75,CA,78,70.47,-68.59,12.2,14.99
190,Kavieng,76,PG,100,-2.57,150.8,83.96,4.72
191,Mount Gambier,56,AU,86,-37.83,140.78,46.88,3.15
192,Qaanaaq,8,GL,100,77.48,-69.36,-2.45,11.43
193,Kruisfontein,68,ZA,80,-34.0,24.73,66.36,16.35
194,Paciran,0,ID,93,-6.9,112.33,71.27,5.84
195,Cayenne,0,GF,79,4.94,-52.33,84.2,8.05
196,Lebu,88,CL,96,-37.62,-73.65,56.55,7.18
197,Kolokani,88,ML,49,13.58,-8.03,85.26,4.16
198,Denpasar,56,ID,100,-8.65,115.22,66.77,1.7
199,Tecoanapa,90,MX,70,16.99,-99.26,86.0,8.05
200,Nizhniy Kuranakh,0,RU,70,58.84,125.49,5.7,2.37
201,Udachnyy,80,RU,81,66.42,112.4,32.66,8.97
202,Mitsamiouli,20,KM,69,-11.38,43.28,75.2,11.41
203,Rosetta,0,EG,92,31.4,30.42,63.66,8.3
204,Hay River,90,CA,86,60.82,-115.79,30.2,5.82
205,Le Vauclin,40,MQ,66,14.55,-60.84,84.2,8.05
206,Yulara,0,AU,78,-25.24,130.99,71.6,5.82
207,Maceio,20,BR,78,-9.67,-35.74,78.8,14.99
208,Touros,0,BR,81,-5.2,-35.46,80.36,13.78
209,Vila Franca do Campo,75,PT,77,37.72,-25.43,66.2,18.34
210,Narsaq,0,GL,57,60.91,-46.05,19.4,8.05
211,Gobabis,32,NA,11,-22.45,18.97,86.0,4.7
212,Lima Duarte,90,BR,87,-21.84,-43.79,60.8,8.05
213,Batagay-Alyta,0,RU,43,67.8,130.41,-2.0,2.26
214,Sistranda,0,NO,59,63.73,8.83,33.8,28.86
215,Manado,20,ID,94,1.49,124.85,73.4,2.24
216,Bonavista,80,CA,78,48.65,-53.11,55.65,11.99
217,Zhanaozen,0,KZ,77,43.35,52.85,31.58,4.16
218,Saint-Francois,75,GP,78,16.25,-61.27,80.6,4.7
219,Merauke,36,ID,96,-8.49,140.4,79.37,9.53
220,Petropavlovka,0,RU,71,50.61,105.32,17.85,2.59
221,Aykhal,36,RU,83,65.95,111.51,30.14,12.21
222,Puerto Madryn,100,AR,76,-42.77,-65.04,61.95,15.46
223,Ostersund,20,SE,79,63.18,14.64,26.6,12.75
224,Grindavik,75,IS,86,63.84,-22.43,33.8,9.17
225,Sechura,0,PE,70,-5.56,-80.82,72.48,13.78
226,Provideniya,90,RU,86,64.42,-173.23,33.8,2.24
227,Melfi,0,TD,39,11.06,17.94,77.25,5.73
228,Nikolskoye,0,RU,86,59.7,30.79,26.6,11.18
229,Chiredzi,0,ZW,58,-21.05,31.67,67.04,4.38
230,Mauguio,0,FR,65,43.62,4.01,46.4,21.92
231,Miyako,20,JP,51,33.63,130.94,60.8,10.29
232,Villa Union,75,MX,70,23.2,-106.23,87.8,6.93
233,Bowen,92,AU,100,-20.01,148.25,78.02,11.77
234,Hambantota,88,LK,100,6.12,81.12,77.48,4.94
235,San Vicente,92,PH,100,14.11,122.87,80.54,25.08
236,Sangar,88,RU,80,63.92,127.47,15.06,6.62
237,Kristiansund,8,NO,40,63.12,7.73,35.6,26.4
238,Hamilton,20,BM,78,32.3,-64.78,77.0,6.93
239,San Cristobal,68,EC,93,-1.02,-79.44,67.04,3.38
240,Forbes,0,AU,65,-33.38,148.01,62.4,7.18
241,Kodinsk,8,RU,64,58.6,99.18,29.42,5.61
242,Port Hedland,0,AU,100,-20.31,118.58,71.6,8.05
243,Ponta do Sol,20,PT,59,32.67,-17.1,64.4,5.82
244,Richards Bay,56,ZA,56,-28.77,32.06,76.35,17.81
245,Beroroha,0,MG,70,-21.68,45.17,63.75,4.61
246,Nuevo Progreso,92,MX,100,17.14,-95.05,75.54,9.64
247,Kholodnyy,0,RU,60,62.72,147.95,-9.42,2.59
248,Raudeberg,0,NO,48,61.99,5.14,39.2,18.34
249,Gazli,64,UZ,43,40.13,63.45,48.77,12.21
250,Saint-Louis,0,SN,88,16.03,-16.5,77.0,2.24
251,Chumikan,64,RU,98,54.72,135.31,29.33,4.16
252,Barrow,1,US,30,39.51,-90.4,69.98,5.82
253,Bakhmach,88,UA,95,51.18,32.81,54.98,8.52
254,San Patricio,40,MX,70,19.22,-104.7,87.8,9.17
255,Marsa Matruh,0,EG,86,31.35,27.25,62.31,7.63
256,Pisco,0,PE,30,-13.71,-76.2,71.6,10.29
257,Shingu,0,JP,100,33.72,135.99,64.74,15.79
258,Torrington,1,US,16,42.06,-104.18,80.96,14.99
259,Flagstaff,1,US,36,35.2,-111.65,77.0,16.11
260,Talaya,92,RU,95,55.79,84.89,34.5,17.36
261,Honningsvag,40,NO,98,70.98,25.97,41.0,20.8
262,Grand Gaube,75,MU,94,-20.01,57.66,71.6,5.82
263,Cockburn Town,80,TC,100,21.46,-71.14,81.21,4.38
264,Tezu,0,IN,70,27.93,96.16,56.19,1.7
265,Novyy Urgal,0,RU,67,51.07,132.56,20.01,5.17
266,Palmer,90,US,85,61.6,-149.11,28.04,4.7
267,Posadas,0,AR,35,-27.37,-55.9,86.0,3.36
268,Leningradskiy,0,RU,100,69.38,178.42,13.04,7.18
269,Faanui,0,PF,100,-16.48,-151.75,80.49,3.6
270,Warman,90,CA,59,52.32,-106.58,42.8,19.46
271,Ahipara,64,NZ,100,-35.17,173.16,55.43,21.05
272,Port Augusta,8,AU,87,-32.49,137.76,55.4,3.36
273,Miri,75,MY,94,4.41,114.01,77.0,2.24
274,Forest Grove,90,US,87,45.52,-123.11,59.0,6.93
275,Hervey Bay,88,AU,98,-25.3,152.85,73.07,11.1
276,Rawson,64,AR,58,-43.3,-65.11,60.38,16.46
277,Aubenas,92,FR,86,44.62,4.39,39.2,5.82
278,Erdenet,0,MN,65,49.03,104.04,12.0,2.37
279,Dolgoye,92,RU,98,52.06,37.53,42.6,14.45
280,Ratnagiri,0,IN,92,16.98,73.3,84.59,4.94
281,Dafeng,0,CN,74,33.2,120.46,45.89,6.4
282,Stanovoye,92,RU,100,52.76,38.34,37.97,15.68
283,Fortuna,40,US,59,40.6,-124.16,62.6,10.29
284,Muroto,20,JP,76,33.37,134.14,50.0,8.05
285,Plaeng Yao,0,TH,74,13.58,101.28,80.6,10.29
286,Pangnirtung,5,CA,56,66.15,-65.72,15.8,5.82
287,Tenenkou,12,ML,35,14.46,-4.91,81.26,8.63
288,Labuhan,12,ID,97,-2.54,115.51,68.93,2.15
289,Khatanga,80,RU,90,71.98,102.47,17.85,4.61
290,Saint-Augustin,90,CA,93,45.63,-73.98,42.8,9.17
291,Buala,24,SB,92,-8.15,159.59,82.88,4.83
292,Fare,56,PF,100,-16.7,-151.02,79.86,2.37
293,Rapu-Rapu,64,PH,97,13.19,124.13,82.34,26.08
294,Sakaiminato,75,JP,58,35.55,133.23,55.4,10.29
295,Presidencia Roque Saenz Pena,0,AR,48,-26.79,-60.44,86.34,10.42
296,Mudgal,0,IN,58,16.02,76.43,64.2,7.63
297,Noumea,76,NC,88,-22.28,166.46,68.0,3.36
298,Keetmanshoop,0,NA,26,-26.57,18.15,74.69,9.64
299,Yenagoa,100,NG,99,4.92,6.26,76.44,2.93
300,Ust-Nera,24,RU,72,64.57,143.24,-8.52,1.92
301,Bethel,90,US,100,60.79,-161.76,33.08,13.87
302,Yerbogachen,36,RU,70,61.28,108.01,33.11,8.75
303,Tandalti,8,SD,38,13.01,31.87,80.76,8.41
304,Salalah,0,OM,57,17.01,54.1,77.0,2.24
305,Nemuro,92,JP,100,43.32,145.57,52.41,15.79
306,Shemonaikha,92,KZ,86,50.63,81.92,37.16,12.55
307,Thompson,90,CA,92,55.74,-97.86,30.2,2.24
308,Husavik,0,IS,86,66.04,-17.34,30.2,3.36
309,Vostok,92,RU,90,46.45,135.83,26.72,4.83
310,Benicarlo,0,ES,100,40.42,0.43,58.71,25.75
311,Chapais,90,CA,86,49.78,-74.86,32.0,5.82
312,Raub,20,MY,98,3.79,101.85,71.27,2.48
313,Homer,75,US,35,59.64,-151.54,37.94,8.05
314,Ekhabi,0,RU,89,53.51,142.97,27.75,8.08
315,Dunedin,92,NZ,99,-45.87,170.5,42.92,10.76
316,Darnah,48,LY,96,32.77,22.64,74.51,20.49
317,Jatai,48,BR,69,-17.88,-51.71,79.68,3.04
318,Tikrit,0,IQ,39,34.62,43.68,63.71,10.65
319,Ixtapa,75,MX,79,20.71,-105.21,86.0,9.17
320,Severo-Kurilsk,76,RU,100,50.68,156.12,35.76,1.36
321,Mumford,36,GH,89,5.26,-0.76,80.18,6.51
322,Hovd,0,MN,60,48.01,91.64,13.31,2.26
323,Ariquemes,44,BR,72,-9.91,-63.03,85.22,1.59
324,Petropavlovsk-Kamchatskiy,75,RU,100,53.05,158.65,33.8,2.24
325,Port Lincoln,0,AU,100,-34.72,135.86,54.08,6.51
326,Carutapera,12,BR,75,-1.2,-46.02,83.1,10.98
327,Ponta Delgada,75,PT,77,37.73,-25.67,66.2,18.34
328,Mana,56,GF,88,5.67,-53.78,80.72,3.38
329,Pasighat,0,IN,66,28.06,95.33,59.93,2.71
330,Karakulino,0,RU,83,56.01,53.71,24.11,11.1
331,Komyshuvakha,92,UA,90,48.64,37.46,51.78,7.4
332,Novopokrovka,92,RU,86,45.85,134.51,28.83,7.29
333,Lavrentiya,68,RU,100,65.58,-170.99,35.18,18.48
334,Torbay,90,CA,100,47.66,-52.73,59.0,12.75
335,Porto-Vecchio,92,FR,82,41.59,9.28,55.4,20.8
336,Khandyga,24,RU,92,62.65,135.58,10.56,2.71
337,Biltine,0,TD,14,14.53,20.93,74.28,11.65
338,Geraldton,90,CA,85,49.72,-86.95,39.2,6.93
339,Santiago del Estero,0,AR,52,-27.8,-64.26,86.88,17.02
340,Zhezkazgan,68,KZ,79,47.8,67.71,39.45,13.33
341,Hirara,80,JP,100,24.8,125.28,76.04,25.86
342,Gallipoli,40,IT,88,40.06,18.0,69.8,24.16
343,Bureya,0,RU,94,49.81,129.81,26.94,8.75
344,Bovenden,90,DE,93,51.59,9.93,41.0,9.17
345,Severo-Yeniseyskiy,32,RU,71,60.37,93.04,29.78,4.94
346,Lubango,12,AO,82,-14.92,13.49,66.9,1.92
347,Manggar,20,ID,100,-2.88,108.27,74.33,2.48
348,Cody,75,US,75,44.53,-109.06,42.08,14.99
349,Pathalgaon,0,IN,87,22.56,83.46,58.35,2.93
350,Ouesso,36,CG,87,1.61,16.05,76.13,5.17
351,Sungaipenuh,88,ID,96,-2.08,101.38,66.68,1.03
352,Tayginka,76,RU,92,55.63,60.5,28.97,13.78
353,Toccoa,1,US,31,34.58,-83.33,69.98,5.82
354,Port Hardy,75,CA,93,50.7,-127.42,50.0,6.93
355,Tambovka,0,RU,82,47.32,47.38,45.44,3.15
356,Tilichiki,92,RU,96,60.47,166.1,34.01,10.09
357,Nuuk,5,GL,79,64.17,-51.74,23.0,9.17
358,Kadnikov,0,RU,57,59.5,40.34,9.48,2.93
359,Quatre Cocos,75,MU,94,-20.21,57.76,71.6,5.82
360,Ishigaki,75,JP,73,24.34,124.16,73.4,23.04
361,Port-Gentil,40,GA,83,-0.72,8.78,80.6,10.29
362,Minervino Murge,40,IT,88,41.09,16.08,68.0,12.75
363,Brownsville,20,US,58,25.91,-97.49,87.08,16.11
364,Superior,1,US,11,39.95,-105.17,80.96,12.75
365,Saint George,20,BM,78,32.38,-64.68,77.0,6.93
366,Paamiut,0,GL,100,61.99,-49.67,31.44,23.73
367,Iquique,75,CL,68,-20.22,-70.14,66.2,6.93
368,Springbok,24,ZA,85,-29.67,17.88,55.61,11.43
369,Bilibino,80,RU,84,68.06,166.44,-3.57,2.59
370,Makakilo City,1,US,67,21.35,-158.09,84.02,5.82
371,Matagami,90,CA,92,49.76,-77.63,30.2,10.29
372,Srednekolymsk,92,RU,87,67.46,153.71,17.63,5.73
373,Mapiripan,48,CO,60,2.89,-72.13,88.59,7.18
374,Dutlwe,0,BW,28,-23.98,23.93,71.31,10.87
375,Verkhoyansk,0,RU,58,67.55,133.39,4.94,2.59
376,Cururupu,0,BR,67,-1.82,-44.87,83.91,10.09
377,Sochi,0,RU,71,43.6,39.73,55.4,5.84
378,Lorengau,80,PG,100,-2.02,147.27,83.78,7.4
379,Chino Valley,1,US,22,34.76,-112.45,77.0,11.41
380,Hami,0,CN,84,42.84,93.51,28.65,4.72
381,Ancud,92,CL,93,-41.87,-73.83,56.51,2.93
382,Abu Kamal,0,SY,74,34.45,40.92,46.07,2.93
383,Chase,75,CA,66,50.82,-119.69,50.0,8.05
384,Green River,75,US,37,41.53,-109.47,51.08,17.22
385,Leh,24,IN,69,34.16,77.58,-11.67,1.36
386,Porto Santo,75,PT,72,33.07,-16.34,64.4,14.99
387,Basco,92,PH,100,20.45,121.97,78.02,40.51
388,Iqaluit,75,CA,67,63.75,-68.52,17.6,9.17
389,Zherdevka,92,RU,99,51.84,41.47,42.92,13.78
390,Willowmore,0,ZA,22,-33.3,23.49,80.09,8.97
391,Biharamulo,36,TZ,90,-2.64,31.31,61.28,2.71
392,Yar-Sale,88,RU,100,66.83,70.83,17.31,5.95
393,Ahuimanu,75,US,79,21.44,-157.84,84.02,3.36
394,Eyl,12,SO,100,7.98,49.82,75.23,10.42
395,Gualeguay,100,AR,43,-33.15,-59.31,80.99,11.43
396,Shahrud,12,IR,81,36.42,54.97,24.15,2.37
397,Abeche,8,TD,13,13.83,20.83,75.54,13.22
398,Sulangan,36,PH,100,11.14,123.72,82.65,21.39
399,Kendari,0,ID,92,-3.99,122.52,70.37,2.59
400,Balikpapan,8,ID,100,-1.24,116.86,81.84,10.2
401,Marsabit,0,KE,92,2.34,37.99,67.58,3.38
402,Port Macquarie,75,AU,87,-31.43,152.91,60.8,3.36
403,Panacan,40,PH,88,7.15,125.66,75.2,2.24
404,Petrovskoye,40,RU,86,56.26,36.47,28.4,15.66
405,Mecca,12,SA,65,21.43,39.83,72.66,11.32
406,Prince Rupert,90,CA,93,54.32,-130.32,48.2,10.29
407,Chuguyevka,80,RU,79,44.17,133.87,27.98,5.5
408,Kaputa,24,ZM,72,-8.47,29.66,68.03,1.14
409,Gboko,24,NG,89,7.32,9.0,75.86,2.82
410,Naudero,48,PK,67,27.66,68.36,72.71,1.81
411,Norman Wells,90,CA,85,65.28,-126.83,24.8,4.72
412,Havoysund,0,NO,95,71.0,24.66,41.0,14.99
413,Moree,0,AU,74,-29.46,149.84,65.69,12.66
414,Vitim,88,RU,88,59.44,112.57,28.83,5.73
415,Seoul,20,KR,48,37.57,126.98,39.2,6.93
416,San Carlos de Bariloche,40,AR,54,-41.13,-71.31,59.0,20.8
417,Comodoro Rivadavia,0,AR,41,-45.87,-67.48,59.0,9.17
418,Atarfe,20,ES,86,37.22,-3.69,39.2,4.94
419,Preobrazheniye,0,RU,86,42.9,133.91,22.44,3.71
420,Skibbereen,75,IE,70,51.55,-9.27,42.8,6.93
421,Quincy,1,US,44,30.59,-84.58,82.94,5.82
422,Alice Springs,24,AU,68,-23.7,133.88,69.8,3.36
423,El Real de Santa Maria,88,PA,100,8.11,-77.73,77.88,3.38
424,Gravelbourg,8,CA,51,49.88,-106.56,52.05,14.0
425,Yamada,75,JP,76,36.58,137.08,59.0,8.05
426,Ulaangom,8,MN,57,49.98,92.07,4.26,3.38
427,Constitucion,40,MX,33,23.99,-104.67,73.4,4.7
428,Napier,36,NZ,100,-39.49,176.92,56.33,9.19
429,Kindu,64,CD,88,-2.95,25.92,74.06,3.27
